Air_Temp,Process_Temp,RPM,Torque,Tool_Wear,Vibration,Pressure,Humidity,Voltage,Current,Production_Count,Maintenance_Days_Ago,Defect,Failure
25.1,34.3,1598,39.4,151,0.2,100.9,43,220.6,10.3,774,25,0,0
29.0,44.1,1507,39.1,206,0.42,103.1,47,227.0,14.2,544,13,1,1
26.7,41.1,1227,47.7,141,0.33,100.5,53,226.8,7.2,246,84,0,0
22.8,35.4,1173,44.4,41,0.29,102.3,47,217.7,7.1,273,77,0,0
22.7,41.8,1533,37.9,83,0.27,103.2,44,212.8,11.6,610,34,0,0
20.1,36.0,1183,50.8,117,0.39,102.2,65,212.0,9.2,638,74,1,1
25.8,35.1,1530,30.1,108,0.2,99.7,68,217.2,12.5,766,1,0,0
24.9,42.1,1419,45.6,40,0.06,102.7,46,228.3,9.4,719,13,0,0
27.9,42.4,1750,41.8,0,0.2,99.4,37,216.6,13.7,514,30,0,0
22.3,40.1,1719,38.6,32,0.44,102.9,65,223.1,12.1,821,54,0,0
24.3,40.4,1323,28.0,115,0.53,102.3,51,222.5,12.5,802,28,1,0
25.5,43.8,1619,42.5,171,0.2,101.5,66,216.7,9.3,684,52,0,0
22.0,38.7,1593,29.3,25,0.05,104.3,36,223.0,10.0,659,17,0,0
26.9,40.2,1646,32.3,12,0.26,99.3,30,231.2,9.1,442,21,0,0
25.1,37.8,1510,52.6,73,0.26,96.9,65,225.8,8.8,394,37,0,0
22.1,39.1,1723,43.7,128,0.48,100.1,33,222.0,9.8,390,8,0,0
24.2,33.2,1475,34.3,80,0.22,102.5,50,218.7,10.1,887,82,0,0
28.0,43.5,1423,38.6,137,0.37,102.8,52,227.5,7.2,578,36,0,0
23.1,42.3,1300,53.1,67,0.5,102.0,65,221.6,10.9,415,43,1,1
27.0,45.9,1544,37.1,108,0.37,100.8,51,220.9,7.2,468,20,0,0
30.5,46.8,1780,41.3,94,0.38,100.3,38,218.6,11.8,240,45,0,0
25.7,43.1,1637,34.6,158,0.35,96.7,45,229.0,5.9,381,52,0,0
24.4,33.7,1814,51.0,56,0.18,102.7,52,230.6,8.8,433,28,0,0
30.0,48.4,1642,38.7,164,0.17,101.1,64,219.4,10.4,467,22,0,0
22.0,35.2,1760,43.9,230,0.34,99.9,57,218.2,14.6,751,87,1,0
25.1,44.5,1720,34.7,169,0.46,98.7,49,212.6,9.9,534,51,0,0
23.5,40.5,1348,44.8,103,0.49,101.2,48,220.0,10.9,821,83,0,0
30.1,44.2,1623,20.5,188,0.37,102.0,62,216.4,7.6,295,30,0,0
33.3,48.6,1648,41.0,226,0.22,100.4,54,217.6,8.5,871,88,1,1
25.1,42.7,1432,31.6,142,0.35,105.2,59,223.7,11.7,743,71,0,0
26.8,45.6,1301,39.6,66,0.21,101.3,47,210.4,10.2,841,30,0,0
21.4,32.7,1404,49.0,35,0.42,102.9,39,219.5,9.3,617,42,0,0
21.0,40.4,1697,56.4,147,0.38,101.1,52,220.4,9.4,629,68,0,0
27.8,38.4,1459,40.8,86,0.25,98.2,40,226.0,6.2,837,68,0,0
